city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Ramsey,Ramsey,NJ,New Jersey,34003,Bergen,41.0595,-74.1454,14884,1044,polygon,FALSE,TRUE,America/New_York,3,7446,1840000896
New Freedom,New Freedom,PA,Pennsylvania,42133,York,39.7353,-76.6967,14882,869,polygon,FALSE,TRUE,America/New_York,3,17349,1840001457
Yankton,Yankton,SD,South Dakota,46135,Yankton,42.8901,-97.3926,14872,660,polygon,FALSE,TRUE,America/Chicago,3,57078,1840003058
London,London,OH,Ohio,39097,Madison,39.8936,-83.4376,14870,475,polygon,FALSE,TRUE,America/New_York,3,43140,1840000674
Salem Lakes,Salem Lakes,WI,Wisconsin,55059,Kenosha,42.5366,-88.1307,14852,188,polygon,FALSE,TRUE,America/Chicago,3,53168 53192 53179 53170 53102 53109 53194,1840038106
Jackson,Jackson,MO,Missouri,29031,Cape Girardeau,37.3792,-89.6521,14836,533,polygon,FALSE,TRUE,America/Chicago,3,63755,1840008735
Azalea Park,Azalea Park,FL,Florida,12095,Orange,28.5473,-81.2956,14817,1874,polygon,FALSE,FALSE,America/New_York,3,32822 32807 32857,1840014082
Yazoo City,Yazoo City,MS,Mississippi,28163,Yazoo,32.8618,-90.4067,14817,426,polygon,FALSE,TRUE,America/Chicago,3,39194,1840015766
Mount Washington,Mount Washington,KY,Kentucky,21029,Bullitt,38.043,-85.5549,14817,615,polygon,FALSE,TRUE,America/New_York,3,40047,1840014322
Grimes,Grimes,IA,Iowa,19153,Polk,41.6776,-93.7946,14804,488,polygon,FALSE,TRUE,America/Chicago,3,50111,1840007068
Willow Grove,Willow Grove,PA,Pennsylvania,42091,Montgomery,40.1495,-75.1178,14800,1561,polygon,FALSE,FALSE,America/New_York,3,19090,1840005471
Chaparral,Chaparral,NM,New Mexico,35013,Doña Ana,32.0442,-106.4061,14793,96,polygon,FALSE,FALSE,America/Denver,3,88081,1840018050
Lockhart,Lockhart,FL,Florida,12095,Orange,28.6271,-81.4354,14775,1284,polygon,FALSE,FALSE,America/New_York,3,32703 32810 32860,1840014095
Campbellsville,Campbellsville,KY,Kentucky,21217,Taylor,37.3446,-85.3511,14772,591,polygon,FALSE,TRUE,America/New_York,3,42718 42719,1840013242
Bedford,Bedford,IN,Indiana,18093,Lawrence,38.8602,-86.4895,14752,417,polygon,FALSE,TRUE,America/Indiana/Indianapolis,3,47421,1840007426
Tonawanda,Tonawanda,NY,New York,36029,Erie,43.0105,-78.8805,14745,1496,polygon,FALSE,TRUE,America/New_York,3,14150 14151,1840004381
Clarksdale,Clarksdale,MS,Mississippi,28027,Coahoma,34.1971,-90.5729,14745,414,polygon,FALSE,TRUE,America/Chicago,3,38614,1840014696
Cambridge,Cambridge,OH,Ohio,39059,Guernsey,40.0221,-81.5868,14736,625,polygon,FALSE,TRUE,America/New_York,3,43725,1840007259
Whitewater,Whitewater,WI,Wisconsin,55127,Walworth,42.8372,-88.7341,14725,650,polygon,FALSE,TRUE,America/Chicago,3,53190,1840002476
Ewa Beach,Ewa Beach,HI,Hawaii,15003,Honolulu,21.3181,-158.0073,14717,4769,polygon,FALSE,FALSE,Pacific/Honolulu,2,96706 96709,1840029470
Calera,Calera,AL,Alabama,1117,Shelby,33.1249,-86.745,14717,235,polygon,FALSE,TRUE,America/Chicago,3,35040,1840013757
Youngsville,Youngsville,LA,Louisiana,22055,Lafayette,30.0964,-91.9963,14704,470,polygon,FALSE,TRUE,America/Chicago,3,70592,1840015931
Royse City,Royse City,TX,Texas,48397,Rockwall,32.9762,-96.3175,14702,310,polygon,FALSE,TRUE,America/Chicago,3,75189,1840020718
Hartsville,Hartsville,SC,South Carolina,45031,Darlington,34.3676,-80.0833,14693,499,polygon,FALSE,TRUE,America/New_York,3,29550 29551,1840013610
Worthington,Worthington,OH,Ohio,39049,Franklin,40.0949,-83.021,14692,1036,polygon,FALSE,TRUE,America/New_York,3,43085,1840010522
Payson,Payson,AZ,Arizona,4007,Gila,34.2434,-111.3195,14684,315,polygon,FALSE,TRUE,America/Phoenix,3,85541 85547,1840022857
Mastic,Mastic,NY,New York,36103,Suffolk,40.8098,-72.8479,14678,1451,polygon,FALSE,FALSE,America/New_York,3,11950,1840005090
Las Vegas,Las Vegas,NM,New Mexico,35047,San Miguel,35.6011,-105.2206,14662,637,polygon,FALSE,TRUE,America/Denver,3,87701,1840020397
Pierre,Pierre,SD,South Dakota,46065,Hughes,44.3748,-100.3205,14659,410,polygon,FALSE,TRUE,America/Chicago,2,57501,1840000313
Salida,Salida,CA,California,6099,Stanislaus,37.7145,-121.087,14658,1069,polygon,FALSE,FALSE,America/Los_Angeles,3,95368 95358 95356,1840018908
